url,headword
http://www.stoa.org/sol-entries/alpha/244,"Ἀγκάσασθαι"
http://www.stoa.org/sol-entries/alpha/245,"Ἄγκεσι"
http://www.stoa.org/sol-entries/alpha/246,"Ἄγκεινθ' Ἡφαίστοιο"
http://www.stoa.org/sol-entries/alpha/247,"Ἀγκιστρεύει"
http://www.stoa.org/sol-entries/alpha/248,"Ἄγκος"
http://www.stoa.org/sol-entries/alpha/249,"Ἀγκών"
http://www.stoa.org/sol-entries/alpha/250,"Ἀγκράτος ἐλαύνοντα"
http://www.stoa.org/sol-entries/alpha/251,"Ἀγκύλη"
http://www.stoa.org/sol-entries/alpha/252,"Ἀγκύλια"
http://www.stoa.org/sol-entries/alpha/253,"Ἀγκυλομήτης καὶ Ἀγκυλομήτεω. καὶ Ἀγκυλομῆται"
http://www.stoa.org/sol-entries/alpha/254,"Ἀγκύλον"
http://www.stoa.org/sol-entries/alpha/255,"Ἀγκυλοχείλης καὶ Ἀγκυλόχειλος"
http://www.stoa.org/sol-entries/alpha/256,"Ἄγκυρα πλοίου"
http://www.stoa.org/sol-entries/alpha/257,"Ἄγκυρα"
http://www.stoa.org/sol-entries/alpha/258,"Ἄγκυραν"
http://www.stoa.org/sol-entries/alpha/259,"Ἀγκυρανῶν πόλις"
http://www.stoa.org/sol-entries/alpha/260,"Ἀγκυρηβόλιον"
http://www.stoa.org/sol-entries/alpha/261,"Ἀγκύρισμα"
http://www.stoa.org/sol-entries/alpha/262,"Ἀγλαί̈α"
http://www.stoa.org/sol-entries/alpha/263,"Ἀγλαϊεῖσθαι"
http://www.stoa.org/sol-entries/alpha/264,"Ἀγλαόκοιτος"
http://www.stoa.org/sol-entries/alpha/265,"Ἀγλαομητία"
http://www.stoa.org/sol-entries/alpha/266,"Ἀγλαότιμον"
http://www.stoa.org/sol-entries/alpha/267,"Ἀγλαοφῶν"
http://www.stoa.org/sol-entries/alpha/268,"Ἄγλαυρος"
http://www.stoa.org/sol-entries/alpha/269,"Ἀγλευκές"
http://www.stoa.org/sol-entries/alpha/270,"Ἄγλιθες"
http://www.stoa.org/sol-entries/alpha/271,"Ἀγλωττία"
http://www.stoa.org/sol-entries/alpha/272,"Ἄγμασι"
http://www.stoa.org/sol-entries/alpha/273,"Ἀγναπτότατος βάτος αὖος"
http://www.stoa.org/sol-entries/alpha/274,"Ἁγνεία"
http://www.stoa.org/sol-entries/alpha/275,"Ἁγνίας"
http://www.stoa.org/sol-entries/alpha/276,"Ἁγνίζω"
http://www.stoa.org/sol-entries/alpha/277,"Ἀγνοεῖ δ' ἀράχνη παῖδας ὡς παιδεύεται"
http://www.stoa.org/sol-entries/alpha/278,"Ἀγνόημα"
http://www.stoa.org/sol-entries/alpha/279,"Ἄγνος"
